role_name,permission_name
Koordinator PSDA,view.reports
Koordinator PSDA,view.reports.attendance
Koordinator PSDA,manage.psda
Koordinator PSDA,view.psda.reports
Koordinator PSDA,send.notifications
Koordinator Produksi,view.users
Koordinator Produksi,view.attendance.own
Koordinator Produksi,checkin.attendance
Koordinator Produksi,view.schedule.all
Koordinator Produksi,view.schedule.own
Koordinator Produksi,input.availability
Koordinator Produksi,view.swap.own
Koordinator Produksi,create.swap.request
Koordinator Produksi,approve.swap.target
Koordinator Produksi,view.leave.own
Koordinator Produksi,create.leave.request
Koordinator Produksi,view.penalty.own
Koordinator Produksi,appeal.penalty
Koordinator Produksi,view.sales.all
Koordinator Produksi,view.sales.own
Koordinator Produksi,view.products
Koordinator Produksi,create.products
Koordinator Produksi,edit.products
Koordinator Produksi,view.purchases
Koordinator Produksi,create.purchases
Koordinator Produksi,edit.purchases
Koordinator Produksi,delete.purchases
Koordinator Produksi,manage.stock
Koordinator Produksi,view.reports
Koordinator Produksi,view.produksi.reports
Koordinator Produksi,manage.produksi

Koordinator Desain,view.users
Koordinator Desain,view.attendance.own
Koordinator Desain,checkin.attendance
Koordinator Desain,view.schedule.all
Koordinator Desain,view.schedule.own
Koordinator Desain,input.availability
Koordinator Desain,view.swap.own
Koordinator Desain,create.swap.request
Koordinator Desain,approve.swap.target
Koordinator Desain,view.leave.own
Koordinator Desain,create.leave.request
Koordinator Desain,view.penalty.own
Koordinator Desain,appeal.penalty
Koordinator Desain,view.sales.own
Koordinator Desain,view.products
Koordinator Desain,manage.desain
Koordinator Desain,view.desain.assets
Koordinator Desain,manage.banners
Anggota,view.attendance.own
Anggota,checkin.attendance
Anggota,view.schedule.own
Anggota,input.availability
Anggota,view.swap.own
Anggota,create.swap.request
Anggota,approve.swap.target
Anggota,view.leave.own
Anggota,create.leave.request
Anggota,view.penalty.own
Anggota,appeal.penalty
Anggota,view.sales.own
Anggota,create.sales
Anggota,view.products
Anggota Toko,view.attendance.own
Anggota Toko,checkin.attendance
Anggota Toko,view.schedule.own
Anggota Toko,input.availability
Anggota Toko,view.swap.own
Anggota Toko,create.swap.request
Anggota Toko,approve.swap.target
Anggota Toko,view.leave.own
Anggota Toko,create.leave.request
Anggota Toko,view.penalty.own
Anggota Toko,appeal.penalty
Anggota Toko,view.sales.own
Anggota Toko,create.sales
Anggota Toko,view.products
Anggota Toko,view.purchases

Anggota PSDA,view.attendance.own
Anggota PSDA,checkin.attendance
Anggota PSDA,view.schedule.own
Anggota PSDA,input.availability
Anggota PSDA,view.swap.own
Anggota PSDA,create.swap.request
Anggota PSDA,approve.swap.target
Anggota PSDA,view.leave.own
Anggota PSDA,create.leave.request
Anggota PSDA,view.penalty.own
Anggota PSDA,appeal.penalty
Anggota PSDA,view.sales.own
Anggota PSDA,view.products
